height, algo, pow_hash, timestamp, bits
128, scrypt, 01e5fd55eeabe01c0c688a2f62b364dd2f7e24c22d6df5f26ab36f9a1edb741a, 1545975499, 20023fff
129, lyra2rev2, 01a6f3880cf38e28fb355283bba73da4c8f5f5252f4720b743a31b8d71675ac7, 1545975503, 20023fff
130, stribog, 01c807b41cd328c9c0203647a98adcbc422d8011c5a60114c1353d09dd21f815, 1545975514, 20023fff
131, sha256d, 00f04c47eba2eae856df461ed556c8d638eaf6fa681f3df748c96f2291201b13, 1545975519, 20023fff
132, scrypt, 00d9330660a676012eb658cb38f42dd45cd365ad5303ddedf8ee90305bee972a, 1545975529, 20023fff
133, cryptonight7v2, 002d8c18f88890078ca776099b5bbd5814f2297c6b01fd072873a4980ddd96ea, 1545975544, 20023fff
134, blake14lr, 0230108ab851a7ce645e65d3511fc822ca384ebb0d2774d62f22b35b2587d4a3, 1545975547, 20023fff
135, blake14lr, 005ef17b78353e50cded82722ddb151f2dc32f377c0e2087371fc1a828af7856, 1545975550, 20023fff
136, blake14lr, 00cd033b5b221a14292a75c4aaf22d9f026f34c0ef614d2bb71a03cfa9945ab6, 1545975560, 20023fff
137, blake14lr, 0088ac7b98c0e253b2af45d13449913a9112418fef5c90d1e1f0590eedd22419, 1545975562, 20023fff
138, skein, 00d46b33b15e757d94101d02cd5327d2037e3729c552268f9da6352dd575ebce, 1545975574, 20023392
139, stribog, 012f294121f829a1239cc154f687b0afd3a52778bfc4939c22b16cd7cb6d8f39, 1545975589, 20022509
140, stribog, 0157f7a4387d61bcb2e9888e30a7bedb7e1e8ac01261412e54e87d3629c71948, 1545975593, 200214fd
141, cryptonight7v2, 009257eafcc7ca82557a5e739a92e2a8735fc2366a0fc06dd45212fdab8331fb, 1545975604, 20023fff
142, skein, 0152d4467d1c4ccaf4f56d76a0a873b86638c07e19fd8b897fd98bc27cf84bf3, 1545975619, 2002293b
143, skein, 008a537c442a072d3ed84a3e0745c1c780fc43826146ee0ab4839656dda0629d, 1545975620, 2002118e
144, x11, 00c6eb91462a3641c95784f3372b8300385bffd07b1ff518c560cf0c4841ba81, 1545975634, 2001f773
145, stribog, 014ca8910fabf2cb910d7dbfddbeed8f8bc0ea660abecad37ac47362cb6a1d19, 1545975649, 2001dced
146, stribog, 017729bc3b18607937d0ff09c83b41c7b44fd77f62e5314a9572ca889bc085dc, 1545975651, 2001c251
147, scrypt, 00c5adfd0274174c6b97a9c65787e7e393610582075587c02e63be39871437ab, 1545975655, 2001a678
148, cryptonight7v2, 016522547e2a8077b8938ce9ea2ee6146c198e780cb4813c0200916e34530092, 1545975679, 2001f168
149, lyra2rev2, 021ef0dbfd2ae3250c59cd6aa69d325984b1502849ec19ccf0d3586ddfd5bf77, 1545975689, 20023fff
150, sha256d, 013be9f23011fa1f5ad6a0122a5c1e7ce61df483fdfd4a1f7cd88ccc6705f2c8, 1545975694, 20023fff
151, x11, 01de68abf915c9426cca7b034c2375c81d1c28da90082804400eeb859cebeb97, 1545975709, 20021369
152, stribog, 004c248dca637774d524b45dfe505711e2589b13d57529d5d929790a8b116d5f, 1545975724, 2001e8c7
153, cryptonight7v2, 0103ea5e79fe030b3625c795d530a2cd7fd37f2f0f515fa5b4e5ad6c2d073b65, 1545975739, 200212b8
154, skein, 0159a94cd31c36380917ac0db946e9aa976ae007eda920b4832c58bf9b02fe42, 1545975754, 2001e536
155, keccak, 006000e1e266495eb70cf0398e5e04f372239af840b897252dd10d279a198210, 1545975760, 20023fff
156, x11, 01b0935bf395913cea2a8016600e2072eb3ec43e67d2b46f02943f11e74ee1a3, 1545975784, 20020a62
157, scrypt, 0097fcb2deaf30c4ae6ca53c835951e88dbed8608ec778e00c6b9bbe050ad1a3, 1545975799, 2001d967
158, scrypt, 010362350f56231b73eafbccba5a311b4db7495f88ea880e9e7a5e174fa2c653, 1545975814, 2001abc8
159, x11, 008f47d9aedba0f29875343ea52dbf313a1328ed5df400d5c92b33f18d1b4c10, 1545975829, 20018175
160, skein, 011e35033435bf72b299dfaafd13b5ee236f65929dae6ce8c09ac4bee8f8f851, 1545975844, 20015a57
161, keccak, 003c7675b3a9df9312617e78f89f79e156d5bb95a2caec3fe0c6f1a3a6ae592f, 1545975859, 20020356
162, x11, 016be064bb3e648792a436c0ed6aca6ed750f9cf783c0079426eb749dc304ce9, 1545975874, 2001cc79
163, keccak, 01b01e0d3e5aae89f105593c6231bfa075c3f2a00654658ef290b3941ce0493f, 1545975878, 20023fff
164, keccak, 01f1217d1a572793d4f4afd36c7fa0bb02e43f8198cf1df39f826693febe7619, 1545975881, 20023fff
165, keccak, 0181c404d10fd3417ac56958764f3580cda40304781b56ebfa5e25e4fa3c74e5, 1545975884, 20023fff
166, lyra2rev2, 00d2bf0a369b200e43de8d6d47e4be72f5295abe7092ea918d2a5d2f1a1882a6, 1545975889, 20023fff
167, lyra2rev2, 00a8d59a624d2e0b7bc5934c879edfa610303454a7aee876b2ed866d2b68a666, 1545975895, 20023fff
168, sha256d, 01a3b9ba08f7a8afcfffc4fcbe4a3d92934e86b30b7ee075bf3cee76df39ec21, 1545975904, 20023fff
169, sha256d, 00e7703510dd3fac9efc00ec7cd8d38aca0228fbc094650772d88b417433d31f, 1545975905, 20023fff
170, scrypt, 01cb7d960df1c60dee02dce621fa8fc9b17c70e35823c4f9c14bad0240888c4a, 1545975919, 2001ef6c
171, scrypt, 0069d4efc5dbde4375494786472b9393dc48f69991f488abdf85f075391478cc, 1545975925, 2001a8f7
172, scrypt, 0155c7eb3a548c70dc44b2690e704cd0d9434fd5d172ae3894fc1781952c05dd, 1545975932, 20016ae2
173, skein, 002d688382ac69eb87cd22ca2df60977c04f101ffcea13bd0e4779d28a13274c, 1545975934, 2001348e
174, skein, 00428af9473d11e6d597f60884ebe2cb67f0b64c5a3436b2de62b950d6de56bb, 1545975938, 200104f4
175, scrypt, 00792de4a6fa38d9cbee7045221d967dc47430e9ff8a8986f3d09fec1f5f0abc, 1545975964, 2000db9f
176, blake14lr, 008d3211fad74383ad9e2ccf885d090195df6f640c8d4fd89aa51d0e7c79afd7, 1545975975, 2000b8de
177, blake14lr, 007d49a797174c25dad00aed4ce91d8aebf19ea6fe6ded8af6d1c661dd1e3812, 1545975979, 20009b1c
178, blake14lr, 0022fd436c54917be4f30a9d4304693343257744c3bccd5fa823821ce5fa0fc9, 1545975982, 20008185
179, keccak, 0024d3dd2d97b7b321a00b73d24fc0ed7f3575a3bbb9943095f852ca159b778d, 1545975994, 200084fd
180, scrypt, 0060240189d58218450aa7957ab99973f4ccfec229bc3669ed19ea5282a64b8a, 1545976009, 1f6e2d12
181, blake14lr, 000879ea47b8fc87443602a1d04e390478d4e2adfb3ad54046776fe748140040, 1545976024, 1f5b1324
182, x11, 000e109ce292c561674c471cbd353c5f9ee90472cac7c976b5ac1c5e280fda50, 1545976039, 1f4b1eac
183, stribog, 000e06cc7300d7cc5b0b249c9e68d585e82ab0a42279a95aac090e757b39c559, 1545976069, 1f3dd33b
184, sha256d, 00156d0755846140665bf33ca809bda78a85a90d2d003d50cb1c554400b719ed, 1545976099, 1f32f185
185, keccak, 0022cc7ed393115598671e17930eabaae61c0ebaa75edf22aef611be4a0fc453, 1545976129, 1f2a06a8
186, scrypt, 001f1445e9f9bf5adfb85e8f12b9d26672ae136ba45628b1e6526326fae05bbd, 1545976234, 1f22b5a2
187, keccak, 00135572935c3c86f2e5525053337f3ee9a104c71ef4404a52dc590ff29d5301, 1545976294, 1f1d2b22
188, sha256d, 0002b46b913f6414c94f445a00b3913e4883bb3623479272bc22ab0e6a5d689b, 1545976459, 1f18b1a3
189, scrypt, 0003eed808a14e4b5016d36c795e8ddf224b9305e91313e79ec18a8c1e7b7dca, 1545976489, 1f15852d
190, cryptonight7v2, 000fc214f9d099719b7842a1c1561bfdfd9389627e67cde9814eb2d850ae56bb, 1545976684, 1f12c4e6
191, keccak, 0004668ed9af611307e7bd3769c134aeb1e41670ff9c3c9f0dbbef93c1fbbd90, 1545976714, 1f10edba
192, x11, 000cf5cfe39c853e81e0dec342956aea40462e338fd49e956e869a2ec3762007, 1545976804, 1f0f46ff
193, keccak, 000283daec1e9bbc0c164d6ddcee0db5eeea0e8461e39cf2466d304cb41de82d, 1545976864, 1f0f5dd8
194, blake14lr, 0009923745c50a9dc1183e6bed17dbdb8b3b91a2f34adf0bb627a9f65ee448ce, 1545976894, 1f0e1f95
